Dataset,Miss_Rate,Variant,Seed,Accuracy_Mean5,Accuracy_Std5,Accuracy_Final,Run_Code,Log_File
NATOPS,0.0,baseline,2023,86.44444346427917,0.8314796883245111,85.5555534362793,t1763053505,run_models_seed2023_t1763053505.log
NATOPS,0.0,baseline,9999,91.55555605888367,1.1331142109838273,92.22221970558167,t1763052320,run_models_seed9999_t1763052320.log
NATOPS,0.0,baseline,9999,94.55555319786072,0.22222280502319336,94.44444179534912,t1763052902,run_models_seed9999_t1763052902.log
NATOPS,0.0,baseline,9999,86.77777886390686,0.9558129608336003,86.66666746139526,t1763053888,run_models_seed9999_t1763053888.log
NATOPS,0.0,pyramidal_latent,42,82.44444489479065,1.6329931456335556,83.88888835906982,t1763996687,run_models_seed42_t1763996687.log
NATOPS,0.0,pyramidal_latent,42,85.77777862548828,1.0304023150062798,86.66666746139526,t1764013060,run_models_seed42_t1764013060.log
NATOPS,0.0,pyramidal_latent,777,82.00000047683716,1.2472186828844865,81.66666626930237,t1763996934,run_models_seed777_t1763996934.log
NATOPS,0.0,pyramidal_latent,777,85.22222399711609,2.7352301851767384,83.88888835906982,t1764014298,run_models_seed777_t1764014298.log
NATOPS,0.0,pyramidal_latent,9999,85.1111114025116,1.018350483941722,85.00000238418579,t1763997216,run_models_seed9999_t1763997216.log
NATOPS,0.0,pyramidal_latent,9999,82.33333468437195,1.6996725633479142,80.55555820465088,t1764015520,run_models_seed9999_t1764015520.log
NATOPS,0.0,tvf_lstm_latent,42,85.00000238418579,0.4969052981825421,85.55555939674377,t1764012464,run_models_seed42_t1764012464.log
NATOPS,0.0,tvf_lstm_latent,777,89.7777795791626,1.3425620142557364,92.22222566604614,t1764013628,run_models_seed777_t1764013628.log
NATOPS,0.0,tvf_lstm_latent,9999,86.00000143051147,1.237279611133488,85.00000238418579,t1764014787,run_models_seed9999_t1764014787.log
NATOPS,0.0,tvf_transformer_latent,42,80.88889122009277,1.5153533878619587,82.22222328186035,t1764060321,run_models_seed42_t1764060321.log
NATOPS,0.0,tvf_transformer_latent,777,87.33333468437195,2.9059316353658686,88.33333253860474,t1764061502,run_models_seed777_t1764061502.log
