Dataset,Miss_Rate,baseline_Mean,baseline_Std,baseline_N,pyramidal_latent_Mean,pyramidal_latent_Std,pyramidal_latent_N,pyramidal_latent_Imp_Abs,pyramidal_latent_Imp_Pct,tvf_lstm_latent_Mean,tvf_lstm_latent_Std,tvf_lstm_latent_N,tvf_lstm_latent_Imp_Abs,tvf_lstm_latent_Imp_Pct,tvf_transformer_latent_Mean,tvf_transformer_latent_Std,tvf_transformer_latent_N,tvf_transformer_latent_Imp_Abs,tvf_transformer_latent_Imp_Pct,channel_latent_Mean,channel_latent_Std,channel_latent_N,channel_latent_Imp_Abs,channel_latent_Imp_Pct
SelfRegulationSCP2,0.6,49.58585871891542,3.079964048683413,22,50.592593948046364,3.8279176958287393,3,1.0067352291309462,2.0302869712063876,51.44444624582926,4.340451258604591,3,1.858587526913844,3.748220914050345,47.62963056564331,4.781078775144939,3,-1.9562281532721073,-3.9451331565341405,46.611111015081406,2.339278702536044,4,-2.974747703834012,-5.999185615997493
SelfRegulationSCP2,0.9,49.932367412940316,1.945235408793333,23,49.814815521240234,2.158977743513354,3,-0.11755189170008151,-0.23542222768635868,51.703705390294395,3.728804016967236,3,1.7713379773540794,3.547474452202771,51.0555574297905,2.277778685092926,2,1.123190016850181,2.249422719258247,50.58333322405815,1.230715812101637,4,0.6509658111178354,1.303695067638898
Libras,0.0,41.66666702429453,13.04881628002765,15,34.92592632770538,8.244380628767694,3,-6.74074069658915,-16.17777753295898,27.851851880550385,1.8599820456097147,3,-13.814815143744148,-33.15555606040954,35.88888963063558,8.129102755932733,3,-5.777777393658951,-13.86666562576294,31.694444566965103,3.125339368330175,4,-9.97222245732943,-23.93333369216918
Libras,0.3,22.527778080354135,5.014715997368608,24,11.888889173666636,0.9558140983267368,3,-10.6388889066875,-47.22564679365954,18.925926287968952,3.4975984190314793,3,-3.601851792385183,-15.988491095472307,17.88888931274414,1.046255262958733,3,-4.638888767609995,-20.59186108396302,18.722222596406937,1.4065542385152918,8,-3.805555483947199,-16.892724486068694
Libras,0.6,17.31481522321701,6.620804210434768,24,6.407407609124978,2.5665357996247073,3,-10.907407614092033,-62.99465211425738,15.074074665705362,1.6736478302716993,3,-2.240740557511648,-12.941175107124991,16.703704198201496,2.008896416900527,3,-0.6111110250155143,-3.5294111842215363,17.055556029081345,1.6377113438274218,4,-0.2592591941356659,-1.4973257917764644
Libras,0.9,8.842592782651385,2.5843619886782507,24,8.481481696168581,2.340084299736778,3,-0.3611110864828042,-4.083769267214041,8.592592825492224,0.34346733121277656,3,-0.24999995715916157,-2.8272245856401512,9.666666835546494,1.4171203947707403,3,0.8240740528951083,9.319371287931409,8.944444600492716,1.5446043066503339,4,0.10185181784133057,1.1518320513544114
ERing,0.0,71.580246925354,4.4967020083623055,15,72.1975302696228,1.2221597423515165,3,0.6172833442687988,0.8623654859873844,71.8765417734782,0.429089693306456,3,0.29629484812419093,0.4139338167318366,71.85184995333354,2.8999481976442696,3,0.2716030279795376,0.3794385178117271,71.38888835906982,2.0335830798305405,4,-0.1913585662841797,-0.2673343198770103
ERing,0.3,55.86728403965632,7.702337143485461,24,50.14814833799998,3.449020807858649,3,-5.7191357016563416,-10.237003283704865,53.82715861002604,4.529366038598431,3,-2.0401254296302795,-3.651735473988919,55.8271598815918,6.494435990822955,3,-0.040124158064521964,-0.07182049164237267,55.83333373069763,3.9141601230891854,4,-0.033950308958687,-0.06076957121199597
ERing,0.6,45.22839511434237,8.263214231824739,24,36.54320935408274,5.660194851977031,3,-8.685185760259628,-19.202949249697056,50.79012413819631,6.269758451097829,3,5.5617290238539425,12.296985134655515,42.39506204922994,6.401113475731693,3,-2.833333065112427,-6.264500559768811,45.333333015441895,3.6057422747812895,4,0.10493790109952528,0.23201774202739386
ERing,0.9,24.339506216347218,6.254396420667147,24,17.901234328746796,1.4291155103145432,3,-6.438271887600422,-26.45194126114303,32.538915475209556,6.352234475006989,3,8.199409258862339,33.68765654479607,24.64197486639023,2.837680900728944,3,0.3024686500430107,1.242706599527737,23.333333432674408,3.3006634688132785,4,-1.0061727836728096,-4.133907954948694
UWaveGestureLibrary,0.0,44.25416656335195,2.341092113469806,30,43.58333349227905,1.6010521181460853,3,-0.6708330710728987,-1.5158642070743082,44.20833349227905,0.6776437738539159,3,-0.04583307107289869,-0.10356780984065413,44.312500754992165,1.9141740364222941,3,0.05833419164021336,0.1318162699024174,45.82812488079071,2.695980385945211,4,1.573958317438759,3.5566330577835252
UWaveGestureLibrary,0.3,31.999999955296516,3.715159346092278,24,33.729166785875954,2.4288487378464847,3,1.7291668305794374,5.403646353109549,33.58750021457672,1.6396456031252593,5,1.5875002592802048,4.96093831718099,33.500000635782875,0.9855730572142195,3,1.5000006804863588,4.687502133068236,36.34374991059303,1.894430469998246,4,4.343749955296516,13.574218629264578
UWaveGestureLibrary,0.6,21.835937487582367,6.139990460829201,24,27.770833770434063,1.3053707020540453,3,5.934896282851696,27.179489253560767,26.825000405311584,1.322521269299144,5,4.989062917729218,22.847944680948054,22.458333869775135,6.423089654924085,3,0.6223963821927683,2.850330481788162,25.479166706403095,1.627668816363332,3,3.6432292188207285,16.684556002656425
UWaveGestureLibrary,0.9,14.838541684051355,3.139545171351022,24,19.958333373069763,2.0668094013787854,3,5.119791689018408,34.50333461354374,25.162500143051147,2.7339304552839776,5,10.323958458999792,69.57529034066809,15.437500178813934,2.434025199122095,3,0.598958494762579,4.036505119679967,15.937500074505806,2.494133766675707,4,1.0989583904544507,7.406107782381502
